timestamp,src_ip,dst_ip,proto,src_port,dst_port,duration_s,packets,bytes_out,bytes_in,flag_syn,flag_rst,label,scenario
2025-03-01 22:53:59,90.41.65.101,10.198.199.15,UDP,39349,5432,0.8498623036977558,31,3016,2355,0,0,0,normal
2025-03-01 13:56:22,10.139.74.145,93.80.109.103,UDP,51789,443,3.3057592492116004,80,4765,7162,0,0,0,normal
2025-03-01 12:33:11,10.196.63.42,10.253.42.16,TCP,45390,443,1.4581217756972558,64,3611,6225,0,0,0,normal
2025-03-01 05:26:21,10.78.194.248,82.52.215.53,TCP,52929,443,2.4829542194518748,64,2215,5442,0,0,0,normal
2025-03-01 12:09:02,10.116.41.180,10.18.152.75,TCP,29166,3389,0.8694744829886062,20,1482,479,0,0,0,normal
2025-03-01 12:54:00,27.87.223.34,10.251.125.30,TCP,65143,443,1.336550325964618,33,1766,1513,0,0,0,normal
2025-03-01 00:15:12,10.172.207.153,19.12.227.9,TCP,64699,22,0.902023707494216,29,3325,1352,0,0,0,normal
2025-03-01 01:10:08,10.101.193.133,10.139.245.185,TCP,60972,53,2.2977967415032974,54,3750,3933,0,0,0,normal
2025-03-01 03:30:29,10.161.234.213,206.175.172.11,UDP,23195,5432,0.5878526525906863,10,145,853,0,0,0,normal
2025-03-01 05:53:11,34.184.173.53,211.226.38.242,TCP,44366,8080,2.0599081553127263,46,3935,2025,0,0,0,normal
2025-03-01 07:20:33,10.218.197.41,10.10.74.211,UDP,12763,80,0.2499833147092324,335,321833,836,0,0,1,ddos
2025-03-01 11:29:37,10.64.104.100,19.4.59.162,TCP,62867,443,1.465040727906914,38,2015,2174,0,0,0,normal
2025-03-01 01:39:05,10.102.8.41,10.165.150.52,TCP,50935,80,1.4402138104964408,40,1939,3893,0,0,0,normal
2025-03-01 01:30:46,10.146.186.54,10.196.62.1,TCP,39039,443,2.100591528756968,92,5343,3595,0,0,0,normal
2025-03-01 14:41:40,185.133.141.236,173.94.56.82,TCP,15302,443,1.8984188347935662,61,2922,4768,0,0,0,normal
2025-03-01 03:10:53,10.182.70.96,192.15.67.89,TCP,63027,80,0.13027594048573435,5,340,477,0,0,0,normal
2025-03-01 01:35:30,186.86.133.33,130.165.11.251,TCP,65482,53,1.555073732697339,70,1102,8078,0,0,0,normal
2025-03-01 02:58:26,177.169.41.72,154.135.175.83,TCP,39731,443,1.1435354350910552,46,1920,4330,0,0,0,normal
2025-03-01 11:29:13,198.89.147.151,10.124.137.56,UDP,53286,443,1.8172528685948417,58,3968,6284,0,0,0,normal
2025-03-01 16:23:49,214.114.228.142,63.140.203.218,TCP,12802,443,2.5075058529272867,69,5162,9393,0,0,0,normal
2025-03-01 12:38:39,132.245.198.225,197.89.246.130,UDP,36516,80,0.5473936306107439,15,88,1021,0,0,0,normal
2025-03-01 13:17:23,64.51.227.246,106.246.7.117,TCP,50549,443,2.0755875113009017,57,4046,2871,0,0,0,normal
2025-03-01 11:20:29,91.156.181.169,210.177.21.191,UDP,49202,80,1.454975833726817,34,2158,3609,0,0,0,normal
2025-03-01 23:02:39,210.20.2.239,18.22.159.125,UDP,31827,443,1.5438614333212552,50,3554,3899,0,0,0,normal
2025-03-01 17:59:20,10.81.100.223,78.235.171.145,TCP,33259,80,2.480490903182975,33,2038,3754,0,0,0,normal
2025-03-01 12:44:38,10.109.114.118,10.61.63.45,UDP,40118,443,2.731092262502552,68,6012,5180,0,0,0,normal
2025-03-01 17:42:31,10.233.156.231,10.198.141.25,TCP,1190,80,0.8437111679068102,35,693,1391,0,0,0,normal
